Vd Vg Vs Vb Lg Ids qd  
1.0 0.40404040404 0 0 1e-06 8.82528468004e-07 -1.19917083655e-14
0.01 0.424242424242 0 0 1e-06 1.29108009233e-07 -3.27406418509
0.12 0.424242424242 0 0 1e-06 9.42011859122e-07 -1.08798382575
0.23 0.424242424242 0 0 1e-06 1.11601616416e-06 -0.142762140178
0.34 0.424242424242 0 0 1e-06 1.13220706346e-06 -0.00302424347915
0.45 0.424242424242 0 0 1e-06 1.13252504491e-06 -4.36557996357e-05
0.56 0.424242424242 0 0 1e-06 1.13252962726e-06 -6.24606999945e-07
0.67 0.424242424242 0 0 1e-06 1.13252969282e-06 -8.93537756673e-09
0.78 0.424242424242 0 0 1e-06 1.13252969376e-06 -1.27825932574e-10
0.89 0.424242424242 0 0 1e-06 1.13252969377e-06 -1.82862659314e-12
1.0 0.424242424242 0 0 1e-06 1.13252969377e-06 -2.61595996198e-14
0.01 0.444444444444 0 0 1e-06 1.51179533275e-07 -3.78892718909
0.12 0.444444444444 0 0 1e-06 1.1562531278e-06 -1.39383159505
0.23 0.444444444444 0 0 1e-06 1.39746188162e-06 -0.238776933399
0.34 0.444444444444 0 0 1e-06 1.42585041504e-06 -0.00652909694517
0.45 0.444444444444 0 0 1e-06 1.42653828485e-06 -9.52188005326e-05
0.56 0.444444444444 0 0 1e-06 1.42654827982e-06 -1.36255813113e-06
0.67 0.444444444444 0 0 1e-06 1.42654842284e-06 -1.94922935476e-08
0.78 0.444444444444 0 0 1e-06 1.42654842488e-06 -2.78848944223e-10
0.89 0.444444444444 0 0 1e-06 1.42654842491e-06 -3.9891013084e-12
1.0 0.444444444444 0 0 1e-06 1.42654842491e-06 -5.7066485559e-14
0.01 0.464646464646 0 0 1e-06 1.74228042138e-07 -4.32816101913
0.12 0.464646464646 0 0 1e-06 1.39036060445e-06 -1.74676148908
0.23 0.464646464646 0 0 1e-06 1.71885993474e-06 -0.367602439095
0.34 0.464646464646 0 0 1e-06 1.76515718118e-06 -0.01393874576
0.45 0.464646464646 0 0 1e-06 1.76663188951e-06 -0.000207645331254
0.56 0.464646464646 0 0 1e-06 1.76665368711e-06 -2.9723702061e-06
0.67 0.464646464646 0 0 1e-06 1.7666539991e-06 -4.25219309321e-08
0.78 0.464646464646 0 0 1e-06 1.76665400356e-06 -6.08301712562e-10
0.89 0.464646464646 0 0 1e-06 1.76665400363e-06 -8.70212065619e-12
1.0 0.464646464646 0 0 1e-06 1.76665400363e-06 -1.24489052638e-13
0.01 0.484848484848 0 0 1e-06 1.98093843514e-07 -4.88834055087
0.12 0.484848484848 0 0 1e-06 1.64129270185e-06 -2.14407585784
0.23 0.484848484848 0 0 1e-06 2.08026838855e-06 -0.529726435933
0.34 0.484848484848 0 0 1e-06 2.15141948482e-06 -0.029115339092
0.45 0.484848484848 0 0 1e-06 2.154526344e-06 -0.000452632354561
0.56 0.484848484848 0 0 1e-06 2.15457386581e-06 -6.48407742998e-06
0.67 0.484848484848 0 0 1e-06 2.1545745464e-06 -9.2760485357e-08
0.78 0.484848484848 0 0 1e-06 2.15457455613e-06 -1.32699435006e-09
0.89 0.484848484848 0 0 1e-06 2.15457455627e-06 -1.89834496696e-11
1.0 0.484848484848 0 0 1e-06 2.15457455628e-06 -2.71569627512e-13
0.01 0.505050505051 0 0 1e-06 2.22648793591e-07 -5.46658188105
0.12 0.505050505051 0 0 1e-06 1.90632020745e-06 -2.5813975505
0.23 0.505050505051 0 0 1e-06 2.48059691263e-06 -0.727908339978
0.34 0.505050505051 0 0 1e-06 2.58531642032e-06 -0.0584787292291
0.45 0.505050505051 0 0 1e-06 2.59165903542e-06 -0.000985801411206
0.56 0.505050505051 0 0 1e-06 2.59176256609e-06 -1.4144509517e-05
0.67 0.505050505051 0 0 1e-06 2.59176405075e-06 -2.02354583977e-07
0.78 0.505050505051 0 0 1e-06 2.59176407199e-06 -2.89480362909e-09
0.89 0.505050505051 0 0 1e-06 2.59176407229e-06 -4.1411901259e-11
1.0 0.505050505051 0 0 1e-06 2.59176407229e-06 -5.9242207266e-13
0.01 0.525252525253 0 0 1e-06 2.47790059277e-07 -6.06047176868
0.12 0.525252525253 0 0 1e-06 2.18312625056e-06 -3.05381495038
0.23 0.525252525253 0 0 1e-06 2.91735080086e-06 -0.967079995265
0.34 0.525252525253 0 0 1e-06 3.06691683946e-06 -0.110390992111
0.45 0.525252525253 0 0 1e-06 3.0792281349e-06 -0.00214299249795
0.56 0.525252525253 0 0 1e-06 3.07945334466e-06 -3.08542796675e-05
0.67 0.525252525253 0 0 1e-06 3.07945658327e-06 -4.41431257059e-07
0.78 0.525252525253 0 0 1e-06 3.0794566296e-06 -6.31493875657e-09
0.89 0.525252525253 0 0 1e-06 3.07945663026e-06 -9.03389845225e-11
1.0 0.525252525253 0 0 1e-06 3.07945663027e-06 -1.29235332901e-12
0.01 0.545454545455 0 0 1e-06 2.7343476851e-07 -6.66799309014
0.12 0.545454545455 0 0 1e-06 2.46980228215e-06 -3.55657885271
0.23 0.545454545455 0 0 1e-06 3.3868519903e-06 -1.25185034583
0.34 0.545454545455 0 0 1e-06 3.59589428633e-06 -0.192004449782
0.45 0.545454545455 0 0 1e-06 3.61821382003e-06 -0.0046401641951
0.56 0.545454545455 0 0 1e-06 3.61870215611e-06 -6.73002113777e-05
0.67 0.545454545455 0 0 1e-06 3.6187092204e-06 -9.62970795517e-07
0.78 0.545454545455 0 0 1e-06 3.61870932147e-06 -1.3775874501e-08
0.89 0.545454545455 0 0 1e-06 3.61870932292e-06 -1.97072142946e-10
1.0 0.545454545455 0 0 1e-06 3.61870932294e-06 -2.81923514347e-12
0.01 0.565656565657 0 0 1e-06 2.99515680264e-07 -7.28745658763
0.12 0.565656565657 0 0 1e-06 2.76479952787e-06 -4.08542491959
0.23 0.565656565657 0 0 1e-06 3.88486700171e-06 -1.58401203319
0.34 0.565656565657 0 0 1e-06 4.17181661183e-06 -0.306224943199
0.45 0.565656565657 0 0 1e-06 4.20936834586e-06 -0.00996525473238
0.56 0.565656565657 0 0 1e-06 4.21042028581e-06 -0.000146777624708
0.67 0.565656565657 0 0 1e-06 4.21043569328e-06 -2.10068198775e-06
0.78 0.565656565657 0 0 1e-06 4.21043591377e-06 -3.00517115972e-08
0.89 0.565656565657 0 0 1e-06 4.21043591692e-06 -4.29907749466e-10
1.0 0.565656565657 0 0 1e-06 4.21043591697e-06 -6.15008807247e-12
0.01 0.585858585859 0 0 1e-06 3.25977784494e-07 -7.91744230145
0.12 0.585858585859 0 0 1e-06 3.06686802549e-06 -4.63667045672
0.23 0.585858585859 0 0 1e-06 4.40722060345e-06 -1.96204695389
0.34 0.585858585859 0 0 1e-06 4.79402583735e-06 -0.453358926014
0.45 0.585858585859 0 0 1e-06 4.85316255757e-06 -0.0210546140776
0.56 0.585858585859 0 0 1e-06 4.85539910335e-06 -0.000320020949026
0.67 0.585858585859 0 0 1e-06 4.85543269976e-06 -4.58254769851e-06
0.78 0.585858585859 0 0 1e-06 4.85543318075e-06 -6.55570265145e-08
0.89 0.585858585859 0 0 1e-06 4.85543318764e-06 -9.37832563693e-10
1.0 0.585858585859 0 0 1e-06 4.85543318773e-06 -1.34162570251e-11
0.01 0.606060606061 0 0 1e-06 3.52775672953e-07 -8.55675094233
0.12 0.606060606061 0 0 1e-06 3.37499829167e-06 -5.20719853509
0.23 0.606060606061 0 0 1e-06 4.95015491898e-06 -2.38216141163
0.34 0.606060606061 0 0 1e-06 5.46112610349e-06 -0.63497714789
0.45 0.606060606061 0 0 1e-06 5.54968721625e-06 -0.0431445720846
0.56 0.606060606061 0 0 1e-06 5.55432728529e-06 -0.000697311973235
0.67 0.606060606061 0 0 1e-06 5.5544005062e-06 -9.99654031044e-06
0.78 0.606060606061 0 0 1e-06 5.55440155547e-06 -1.43010946699e-07
0.89 0.606060606061 0 0 1e-06 5.55440157048e-06 -2.04585732315e-09
1.0 0.606060606061 0 0 1e-06 5.5544015707e-06 -2.92672154356e-11
0.01 0.626262626263 0 0 1e-06 3.79871519185e-07 -9.20436420181
0.12 0.626262626263 0 0 1e-06 3.68837131367e-06 -5.79439578849
0.23 0.626262626263 0 0 1e-06 5.51046001214e-06 -2.83956829981
0.34 0.626262626263 0 0 1e-06 6.1705475513e-06 -0.85524743262
0.45 0.626262626263 0 0 1e-06 6.29856564258e-06 -0.0839687164297
0.56 0.626262626263 0 0 1e-06 6.30779971154e-06 -0.00151738587729
0.67 0.626262626263 0 0 1e-06 6.30795911856e-06 -2.18063929376e-05
0.78 0.626262626263 0 0 1e-06 6.30796140745e-06 -3.11974657226e-07
0.89 0.626262626263 0 0 1e-06 6.3079614402e-06 -4.46298449074e-09
1.0 0.626262626263 0 0 1e-06 6.30796144066e-06 -6.38456685607e-11
0.01 0.646464646465 0 0 1e-06 4.07233527871e-07 -9.8594126257
0.12 0.646464646465 0 0 1e-06 4.00631797762e-06 -6.3960777558
0.23 0.646464646465 0 0 1e-06 6.08547202255e-06 -3.32938756344
0.34 0.646464646465 0 0 1e-06 6.91849915718e-06 -1.11930027358
0.45 0.646464646465 0 0 1e-06 7.09902824467e-06 -0.151727626185
0.56 0.646464646465 0 0 1e-06 7.11631472547e-06 -0.00329254018886
0.67 0.646464646465 0 0 1e-06 7.11666096976e-06 -4.75662803284e-05
0.78 0.646464646465 0 0 1e-06 7.11666596259e-06 -6.80564593118e-07
0.89 0.646464646465 0 0 1e-06 7.11666603402e-06 -9.7358844819e-09
1.0 0.646464646465 0 0 1e-06 7.11666603504e-06 -1.39277663874e-10
0.01 0.666666666667 0 0 1e-06 4.34834741201e-07 -10.5211496891
0.12 0.666666666667 0 0 1e-06 4.3282871e-06 -7.01041711637
0.23 0.666666666667 0 0 1e-06 6.67301190313e-06 -3.84711691836
0.34 0.666666666667 0 0 1e-06 7.70043090451e-06 -1.43037689662
0.45 0.666666666667 0 0 1e-06 7.95019304857e-06 -0.251342246367
0.56 0.666666666667 0 0 1e-06 7.98025227075e-06 -0.00710204891347
0.67 0.666666666667 0 0 1e-06 7.9810007479e-06 -0.000103746575089
0.78 0.666666666667 0 0 1e-06 7.98101163807e-06 -1.48462708226e-06
0.89 0.666666666667 0 0 1e-06 7.9810117939e-06 -2.12385785435e-08
1.0 0.666666666667 0 0 1e-06 7.98101179613e-06 -3.03830597933e-10
0.01 0.686868686869 0 0 1e-06 4.62652115339e-07 -11.1889308723
0.12 0.686868686869 0 0 1e-06 4.65382060801e-06 -7.63588065412
0.23 0.686868686869 0 0 1e-06 7.27130630169e-06 -4.38881210726
0.34 0.686868686869 0 0 1e-06 8.51168275359e-06 -1.78836320231
0.45 0.686868686869 0 0 1e-06 8.85115521257e-06 -0.383780683586
0.56 0.686868686869 0 0 1e-06 8.89982025537e-06 -0.0151351201722
